transaction_id,account_id,transaction_type,amount,transaction_date
1,532,Credit,2255.13,2016-03-02 21:59:52
2,403,Credit,3032.89,2016-08-08 17:05:12
3,570,Debit,4256.79,2016-08-21 07:20:57
4,52,Credit,7602.22,2016-05-26 18:21:10
5,508,Debit,96023.45,2016-03-02 21:59:52
6,683,Debit,73147.53,2016-08-11 02:05:38
7,25,Debit,70668.23,2016-06-11 15:56:49
8,217,Credit,3652.2,2016-04-05 14:39:24
9,30,Debit,799.11,2016-08-27 20:58:38
10,708,Credit,12033.24,2016-05-04 18:22:58
11,306,Credit,56046.93,2016-08-09 19:09:02
12,93,Credit,4336.81,2016-09-04 18:21:38
13,128,Debit,427.96,2016-03-11 13:58:18
14,743,Credit,12970.97,2016-03-02 21:59:52
15,454,Credit,25724.48,2016-03-02 21:59:52
16,527,Credit,13460.99,2016-08-14 12:24:17
17,184,Debit,4227.99,2016-03-02 21:59:52
18,366,Debit,22028.65,2016-05-30 09:54:02
19,227,Debit,19782.53,2016-03-08 12:07:58
20,117,Credit,2514.08,2016-03-02 21:59:52
21,649,Debit,3450.78,2016-07-02 07:31:06
22,42,Debit,2830.87,2016-03-02 21:59:52
23,272,Credit,55688.24,2016-03-02 21:59:52
24,93,Debit,72053.29,2016-03-02 21:59:52
25,703,Debit,7998.7,2016-03-02 21:59:52
26,640,Credit,2818.09,2016-03-02 21:59:52
27,713,Credit,4312.87,2016-03-07 21:22:59
28,300,Credit,2239.76,2016-08-18 10:08:44
29,723,Debit,3508.76,2016-03-11 20:49:30
30,127,Debit,17991.86,2016-04-27 22:25:15
31,605,Debit,2074.58,2016-08-03 11:38:45
32,615,Debit,3595.02,2016-04-26 09:10:01
33,58,Debit,3121.77,2016-03-06 21:19:40
34,143,Credit,4505.46,2016-03-02 21:59:52
35,631,Credit,4366.39,2016-03-25 12:07:39
36,565,Debit,67947.1,2016-03-02 21:59:52
37,73,Credit,14616.39,2016-03-02 21:59:52
38,135,Credit,4004.76,2016-03-02 21:59:52
39,635,Debit,683.72,2016-09-27 22:51:38
40,160,Credit,12796.26,2016-03-02 21:59:52
41,102,Credit,129133.99,2016-05-09 08:07:57
42,134,Credit,3938.46,2016-03-02 21:59:52
43,239,Debit,5384.08,2016-03-02 21:59:52
44,296,Credit,816.95,2016-05-01 15:59:30
45,169,Debit,1361.95,2016-03-02 21:59:52
46,184,Credit,148406.69,2016-03-02 21:59:52
47,122,Credit,1395.17,2016-06-23 01:55:16
48,160,Credit,22479.01,2016-06-07 00:56:58
49,404,Credit,175.52,2016-03-02 21:59:52
50,245,Debit,2877.71,2016-09-02 07:05:27
51,94,Credit,47286.17,2016-08-12 23:18:50
52,190,Debit,69070.53,2016-03-22 19:55:37
53,340,Debit,4001.61,2016-03-23 14:33:17
54,446,Credit,310.54,2016-06-06 22:22:06
55,693,Credit,1726.95,2016-05-18 15:54:41
56,135,Credit,23952.89,2016-03-02 21:59:52
57,28,Debit,21229.76,2016-08-16 11:24:23
58,159,Credit,77370.68,2016-08-03 12:46:04
59,741,Debit,18859.31,2016-08-12 20:28:21
