order_id,customer_id,order status,payment_method
1,4217,In Transit,UPI
2,473,Delivered,Net Banking
3,1377,Delivered,Loyalty Points
4,4182,Canceled,UPI
5,3238,Canceled,Net Banking
6,3878,Canceled,UPI
7,285,Delivered,Cash on Delivery
8,2549,Delivered,Net Banking
9,3054,In Transit,Cash on Delivery
10,1812,In Transit,Net Banking
11,3062,In Transit,Net Banking
12,4503,In Transit,Cash on Delivery
13,3846,In Transit,Net Banking
14,2075,Delivered,Net Banking
15,1946,Delivered,Net Banking
16,1879,Delivered,UPI
17,4809,Canceled,Loyalty Points
18,1373,In Transit,Net Banking
19,2108,Delivered,Net Banking
20,3384,Delivered,Net Banking
21,1954,Delivered,Net Banking
22,1035,Delivered,Loyalty Points
23,2658,Canceled,UPI
24,953,In Transit,Net Banking
25,3293,Delivered,Net Banking
26,2489,Delivered,Cash on Delivery
27,4064,In Transit,Net Banking
28,3773,In Transit,Loyalty Points
29,93,Canceled,Loyalty Points
30,586,Delivered,UPI
31,838,In Transit,Net Banking
32,3860,In Transit,UPI
33,395,Canceled,Net Banking
34,4401,In Transit,Cash on Delivery
35,1327,Delivered,Loyalty Points
36,3845,Delivered,UPI
37,2262,Delivered,UPI
38,740,In Transit,Net Banking
39,1619,In Transit,Loyalty Points
40,737,In Transit,UPI
41,2696,In Transit,Cash on Delivery
42,3025,Delivered,Net Banking
43,3371,Delivered,Cash on Delivery
44,1245,Canceled,Net Banking
45,208,Delivered,UPI
46,1081,In Transit,UPI
47,4886,In Transit,Cash on Delivery
48,1541,Canceled,Cash on Delivery
49,3976,Canceled,UPI
50,3827,In Transit,Cash on Delivery
51,3872,Canceled,Cash on Delivery
52,743,In Transit,UPI
53,536,In Transit,Cash on Delivery
54,3391,In Transit,Cash on Delivery
55,2424,In Transit,UPI
56,4862,In Transit,UPI
57,4886,Canceled,UPI
58,515,In Transit,Loyalty Points
59,3365,Canceled,Net Banking
60,1313,Canceled,UPI
61,1136,Canceled,Net Banking
62,1557,Canceled,Loyalty Points
