return_id,order_item_id,return_date,refund_amount
1,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-24,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
2,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-22,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
3,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-25,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
4,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-19,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
5,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-24,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
6,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-22,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
7,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-21,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
8,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-24,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
9,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-21,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
10,"0            1
1            2
2            3
3            4
4            5
         ...  
24995    24996
24996    24997
24997    24998
24998    24999
24999    25000
Name: order_item_id, Length: 25000, dtype: int64",2026-02-21,"0      50245.20
1      26810.62
2      28514.15
3      15804.24
4      51299.63
         ...   
295    24419.00
296    31159.96
297    42546.80
298    43061.99
299    28867.98
Name: price, Length: 300, dtype: float64"
