price_id,stock_id,price_date,open_price,close_price,high_price,low_price,volume
1,1,2022-01-03,174.0134,178.1037,178.955,173.896,104487900
2,1,2022-01-04,178.7103,175.8432,179.0137,175.2757,99310400
3,1,2022-01-05,175.7552,171.1658,176.3032,170.8918,94537600
4,1,2022-01-06,168.9935,168.3085,171.5377,167.9562,96904000
5,1,2022-01-07,169.1794,168.4748,170.4025,167.3593,86709100
6,1,2022-01-10,165.4511,168.4944,168.7977,164.5607,106765600
7,1,2022-01-11,168.6217,171.3224,171.4203,167.1539,76138300
8,1,2022-01-12,172.3401,171.7627,173.3773,171.068,74805200
9,1,2022-01-13,172.0073,168.4944,172.8293,168.103,84505800
10,1,2022-01-14,167.6626,169.3555,170.0503,167.418,80440800
11,1,2022-01-18,167.829,166.1557,168.8369,165.7741,90956700
12,1,2022-01-19,166.3514,162.6623,167.4082,162.3785,94815000
13,1,2022-01-20,163.3963,160.9793,166.0383,160.6564,91420500
14,1,2022-01-21,160.8912,158.9243,162.7602,158.8167,122848900
15,1,2022-01-24,156.5856,158.1513,158.8167,151.3798,162294600
16,1,2022-01-25,155.5679,156.3508,159.2668,153.65,115798400
17,1,2022-01-26,159.9909,156.2627,160.8618,154.4328,108275300
18,1,2022-01-27,158.9635,155.8028,160.3236,154.883,121954600
19,1,2022-01-28,162.1535,166.6743,166.6939,159.306,179935700
20,1,2022-01-31,166.508,171.0288,171.2441,165.8719,115541600
21,1,2022-02-01,170.2753,170.8625,171.0875,168.6118,86213900
22,1,2022-02-02,170.9995,172.0661,172.1052,169.61,84914300
23,1,2022-02-03,170.7352,169.1891,172.4575,168.4259,89418100
24,1,2022-02-04,168.2094,168.905,170.5805,167.2296,82465400
25,1,2022-02-07,169.3656,168.1898,170.4335,167.4942,77251200
26,1,2022-02-08,168.2584,171.2957,171.8052,167.9645,74829200
27,1,2022-02-09,172.4911,172.7164,173.0789,171.3643,71285000
28,1,2022-02-10,170.6197,168.6405,171.9326,168.082,90865900
29,1,2022-02-11,168.8463,165.2309,169.5811,164.643,98670700
30,1,2022-02-14,163.9865,165.466,166.1518,163.1929,86185500
31,1,2022-02-15,167.5138,169.297,169.4537,166.8083,62527400
32,1,2022-02-16,168.376,169.0618,169.8358,166.6124,61177400
33,1,2022-02-17,167.5725,165.466,168.4347,165.0643,69589300
34,1,2022-02-18,166.387,163.918,167.0925,162.8304,82772700
35,1,2022-02-22,161.6448,160.9982,163.3203,158.872,91162800
36,1,2022-02-23,162.1935,156.8341,162.7912,156.5206,90009200
37,1,2022-02-24,149.4955,159.4501,159.5579,148.9272,141147500
38,1,2022-02-25,160.5279,161.5175,161.782,157.6179,91974200
39,1,2022-02-28,159.7637,161.782,162.076,159.1464,95056600
40,1,2022-03-01,161.3705,159.9008,163.2321,158.6957,83474400
41,1,2022-03-02,161.0668,163.1929,163.9767,159.6559,79724800
42,1,2022-03-03,165.0643,162.8696,165.4954,162.2033,76678400
43,1,2022-03-04,161.1648,159.8714,162.2033,158.8231,83737200
44,1,2022-03-07,160.0576,156.0797,161.684,155.8249,96418800
45,1,2022-03-08,155.6094,154.2573,159.5873,152.6504,131148300
46,1,2022-03-09,158.2156,159.6559,160.1066,156.1875,91454900
47,1,2022-03-10,156.9615,155.3155,157.1477,152.8268,105342000
48,1,2022-03-11,155.7171,151.602,156.06,151.3767,96970100
49,1,2022-03-14,148.3884,147.5751,151.0044,147.0657,108732100
50,1,2022-03-15,147.8495,151.9548,152.4251,147.34,92964300
51,1,2022-03-16,153.8752,156.3638,156.7655,151.3375,102300200
52,1,2022-03-17,155.4036,157.373,157.7453,154.4434,75615400
53,1,2022-03-18,157.2652,160.6651,161.1549,156.5304,123511700
54,1,2022-03-21,160.2045,162.0367,162.9871,159.7146,95811400
55,1,2022-03-22,162.1641,165.4072,165.9951,161.5763,81532000
56,1,2022-03-23,164.594,166.7691,169.15,164.2609,98062700
57,1,2022-03-24,167.6019,170.5511,170.6197,166.7691,90131400
58,1,2022-03-25,170.3649,171.1879,171.7366,169.2578,80546200
59,1,2022-03-28,168.6895,172.0502,172.1775,168.5229,90371900
60,1,2022-03-29,173.1181,175.3422,175.3912,172.7752,100589400
61,1,2022-03-30,174.9405,174.1763,175.9791,173.1279,92633200
62,1,2022-03-31,174.2449,171.0802,174.431,170.8744,103049300
63,1,2022-04-01,170.5119,170.7862,171.3447,168.4641,78751300
64,1,2022-04-04,171.041,174.8327,174.8817,170.9136,76468400
65,1,2022-04-05,173.9118,171.5211,174.6956,170.894,73401800
66,1,2022-04-06,168.8757,168.3564,170.12,166.6907,89058800
67,1,2022-04-07,167.6999,168.6601,169.8555,166.4164,77594700
68,1,2022-04-08,168.3074,166.6516,168.3074,165.7796,76575500
69,1,2022-04-11,165.2994,162.3993,165.613,162.1543,72246700
70,1,2022-04-12,164.6234,164.2707,166.436,163.2713,79265200
71,1,2022-04-13,164.0061,166.9553,167.5823,163.3987,70618900
72,1,2022-04-14,167.1708,161.9486,167.8077,161.7036,75329400
73,1,2022-04-18,160.6063,161.733,163.2321,160.2634,69023900
74,1,2022-04-19,161.684,164.0159,164.4274,160.5965,67723800
75,1,2022-04-20,165.3484,163.8493,165.466,162.7422,67929800
76,1,2022-04-21,165.4954,163.0558,168.0625,162.5561,87227800
77,1,2022-04-22,163.0949,158.5193,164.4764,158.2352,84882400
78,1,2022-04-25,157.8629,159.5873,159.8714,155.2567,96046400
79,1,2022-04-26,158.97,153.6302,159.0582,153.5518,95623200
80,1,2022-04-27,152.7582,153.4049,156.5598,152.2389,88063200
81,1,2022-04-28,156.0307,160.3319,161.1942,155.7171,130216800
82,1,2022-04-29,158.5683,154.463,162.8402,154.0711,131747600
83,1,2022-05-02,153.542,154.7668,155.0313,150.1716,123055300
84,1,2022-05-03,154.9529,156.256,157.4612,153.1599,88966500
85,1,2022-05-04,156.4422,162.6638,163.1145,156.0405,108256500
86,1,2022-05-05,160.5377,153.6008,160.763,151.8176,130525300
87,1,2022-05-06,153.0808,154.3269,156.4464,151.2851,116124600
88,1,2022-05-09,152.021,149.2049,152.9041,148.6456,131577900
89,1,2022-05-10,152.6,151.6089,153.7971,150.0586,115366700
90,1,2022-05-11,150.6179,143.7493,152.5313,143.0723,142689800
91,1,2022-05-12,140.0894,139.8833,143.455,136.1939,182602000
92,1,2022-05-13,141.8752,144.3479,145.3193,140.423,113990900
93,1,2022-05-16,142.8172,142.8074,144.7502,141.4729,86643800
94,1,2022-05-17,146.065,146.4379,146.9579,143.9259,78336300
95,1,2022-05-18,144.0928,138.176,144.5932,137.2733,109742900
96,1,2022-05-19,137.2536,134.7711,139.0002,134.0352,136095600
